"","subject","sessionIndex","rep","H.period","DD.period.t","UD.period.t","H.t","DD.t.i","UD.t.i","H.i","DD.i.e","UD.i.e","H.e","DD.e.five","UD.e.five","H.five","DD.five.Shift.r","UD.five.Shift.r","H.Shift.r","DD.Shift.r.o","UD.Shift.r.o","H.o","DD.o.a","UD.o.a","H.a","DD.a.n","UD.a.n","H.n","DD.n.l","UD.n.l","H.l","DD.l.Return","UD.l.Return","H.Return"
"5978","s019",8,28,0.0739,0.2089,0.135,0.1006,0.3215,0.2209,0.0644,0.0895,0.0251,0.09,0.223,0.133,0.0681,0.3809,0.3128,0.1016,0.2526,0.151,0.0795,0.1102,0.0307,0.1193,0.1595,0.0402,0.0729,0.2159,0.143,0.0784,0.3688,0.2904,0.0813
"5979","s019",8,29,0.0766,0.2491,0.1725,0.0795,0.2244,0.1449,0.0573,0.0806,0.0233,0.0787,0.2687,0.19,0.0642,0.3583,0.2941,0.1,0.2544,0.1544,0.0773,0.0684,-0.0089,0.1159,0.1846,0.0687,0.0671,0.2072,0.1401,0.0829,0.3915,0.3086,0.071
"5980","s019",8,30,0.075,0.2335,0.1585,0.0715,0.2114,0.1399,0.0655,0.0769,0.0114,0.0816,0.236,0.1544,0.0739,0.3853,0.3114,0.1075,0.2572,0.1497,0.0771,0.0692,-0.0079,0.1254,0.1854,0.06,0.0768,0.1992,0.1224,0.0832,0.3752,0.292,0.076
"5981","s019",8,31,0.0718,0.2132,0.1414,0.0847,0.223,0.1383,0.066,0.0879,0.0219,0.0921,0.2467,0.1546,0.0644,0.3735,0.3091,0.1133,0.2761,0.1628,0.0705,0.0859,0.0154,0.1183,0.1762,0.0579,0.0813,0.1932,0.1119,0.0871,0.4174,0.3303,0.0813
"5982","s019",8,32,0.0718,0.2411,0.1693,0.0837,0.2302,0.1465,0.0586,0.0792,0.0206,0.0832,0.241,0.1578,0.0768,0.3738,0.297,0.1037,0.2819,0.1782,0.0553,0.0376,-0.0177,0.1302,0.306,0.1758,0.0673,0.2111,0.1438,0.0739,0.3691,0.2952,0.0694
"5983","s019",8,33,0.0636,0.2504,0.1868,0.0718,0.2428,0.171,0.0607,0.0723,0.0116,0.0747,0.2504,0.1757,0.0639,0.3524,0.2885,0.1104,0.2769,0.1665,0.0792,0.0959,0.0167,0.1238,0.1603,0.0365,0.0734,0.209,0.1356,0.0808,0.3662,0.2854,0.0771
"5984","s019",8,34,0.066,0.2857,0.2197,0.0821,0.2368,0.1547,0.0657,0.0948,0.0291,0.0795,0.2489,0.1694,0.0581,0.3738,0.3157,0.0843,0.2846,0.2003,0.0694,0.1597,0.0903,0.1114,0.1479,0.0365,0.0613,0.2115,0.1502,0.0763,0.453,0.3767,0.07
"5985","s019",8,35,0.0668,0.2454,0.1786,0.0731,0.223,0.1499,0.0642,0.0811,0.0169,0.0905,0.256,0.1655,0.0467,0.3555,0.3088,0.0684,0.292,0.2236,0.0533,0.1648,0.1115,0.1074,0.189,0.0816,0.0671,0.2173,0.1502,0.0692,0.4399,0.3707,0.0721
"5986","s019",8,36,0.07,0.2293,0.1593,0.0665,0.2059,0.1394,0.0597,0.0814,0.0217,0.0686,0.2525,0.1839,0.0626,0.3709,0.3083,0.097,0.2709,0.1739,0.0631,0.0999,0.0368,0.0971,0.1703,0.0732,0.0639,0.1739,0.11,0.0774,0.4605,0.3831,0.0613
"5987","s019",8,37,0.0618,0.2261,0.1643,0.0731,0.2505,0.1774,0.0504,0.0768,0.0264,0.0776,0.2597,0.1821,0.0531,0.4084,0.3553,0.098,0.2904,0.1924,0.0607,0.1479,0.0872,0.1151,0.1943,0.0792,0.051,0.2136,0.1626,0.0718,0.4873,0.4155,0.0665
"5988","s019",8,38,0.0708,0.2499,0.1791,0.0908,0.2383,0.1475,0.0581,0.0819,0.0238,0.0779,0.3515,0.2736,0.0797,0.3751,0.2954,0.113,0.2716,0.1586,0.0755,0.0671,-0.0084,0.1159,0.2041,0.0882,0.0623,0.2309,0.1686,0.0642,0.4325,0.3683,0.0779
"5989","s019",8,39,0.0694,0.2366,0.1672,0.0866,0.2268,0.1402,0.0613,0.0817,0.0204,0.0829,0.2615,0.1786,0.0797,0.3925,0.3128,0.1209,0.2708,0.1499,0.0631,0.0759,0.0128,0.1053,0.1795,0.0742,0.0663,0.2188,0.1525,0.0684,0.4631,0.3947,0.0784
"5990","s019",8,40,0.0747,0.2198,0.1451,0.085,0.2616,0.1766,0.0547,0.0682,0.0135,0.0813,0.2541,0.1728,0.0729,0.3809,0.308,0.1011,0.2386,0.1375,0.0747,0.088,0.0133,0.1111,0.1858,0.0747,0.0734,0.2338,0.1604,0.0734,0.4789,0.4055,0.0702
"5991","s019",8,41,0.0547,0.2354,0.1807,0.0839,0.2526,0.1687,0.0568,0.0629,0.0061,0.0866,0.2666,0.18,0.0705,0.4219,0.3514,0.1156,0.2521,0.1365,0.0742,0.0721,-0.0021,0.1186,0.2007,0.0821,0.0697,0.2072,0.1375,0.0694,0.4559,0.3865,0.061
"5992","s019",8,42,0.0655,0.2364,0.1709,0.0869,0.2682,0.1813,0.0589,0.0679,0.009,0.0805,0.2562,0.1757,0.076,0.398,0.322,0.1159,0.259,0.1431,0.0763,0.0671,-0.0092,0.1183,0.1859,0.0676,0.0642,0.2207,0.1565,0.071,0.4163,0.3453,0.0605
"5993","s019",8,43,0.0715,0.2395,0.168,0.076,0.2478,0.1718,0.0562,0.0628,0.0066,0.0866,0.2494,0.1628,0.0715,0.3687,0.2972,0.1117,0.2442,0.1325,0.08,0.0777,-0.0023,0.1206,0.1858,0.0652,0.07,0.2186,0.1486,0.07,0.4166,0.3466,0.0744
"5994","s019",8,44,0.0715,0.2226,0.1511,0.0948,0.2479,0.1531,0.0581,0.0748,0.0167,0.0737,0.25,0.1763,0.0515,0.3662,0.3147,0.1014,0.2698,0.1684,0.0586,0.064,0.0054,0.0993,0.1843,0.085,0.0636,0.2309,0.1673,0.0668,0.5108,0.444,0.0655
"5995","s019",8,45,0.0483,0.2087,0.1604,0.0818,0.227,0.1452,0.0591,0.0779,0.0188,0.0731,0.2393,0.1662,0.056,0.3788,0.3228,0.0935,0.2286,0.1351,0.0705,0.0671,-0.0034,0.1154,0.1793,0.0639,0.0565,0.1964,0.1399,0.0758,0.4129,0.3371,0.0705
"5996","s019",8,46,0.0681,0.234,0.1659,0.0971,0.2349,0.1378,0.0618,0.0771,0.0153,0.065,0.2347,0.1697,0.0628,0.341,0.2782,0.0911,0.2722,0.1811,0.0785,0.0611,-0.0174,0.108,0.1761,0.0681,0.0565,0.227,0.1705,0.0673,0.4274,0.3601,0.0591
"5997","s019",8,47,0.0721,0.2356,0.1635,0.0832,0.2983,0.2151,0.0539,0.0655,0.0116,0.0715,0.2512,0.1797,0.0734,0.4897,0.4163,0.1122,0.3155,0.2033,0.0726,0.0753,0.0027,0.1064,0.1833,0.0769,0.051,0.2442,0.1932,0.0726,0.4659,0.3933,0.0647
"5998","s019",8,48,0.0578,0.2551,0.1973,0.0803,0.2165,0.1362,0.0515,0.079,0.0275,0.0702,0.2438,0.1736,0.0639,0.4572,0.3933,0.0114,0.4748,0.4634,0.0597,0.0799,0.0202,0.0927,0.1975,0.1048,0.0668,0.2288,0.162,0.0562,0.3809,0.3247,0.0392
"5999","s019",8,49,0.066,0.2169,0.1509,0.09,0.4574,0.3674,0.0518,0.089,0.0372,0.1035,0.2473,0.1438,0.0594,1.0206,0.9612,0.1011,0.3273,0.2262,0.0758,0.092,0.0162,0.0974,0.1832,0.0858,0.0631,0.2045,0.1414,0.066,0.4245,0.3585,0.0816
"6000","s019",8,50,0.0723,0.2345,0.1622,0.0718,0.2449,0.1731,0.0496,0.0692,0.0196,0.066,0.2763,0.2103,0.0663,0.3662,0.2999,0.0876,0.2644,0.1768,0.074,0.0648,-0.0092,0.1114,0.1724,0.061,0.0547,0.2162,0.1615,0.065,0.4201,0.3551,0.0781
"6306","s020",7,6,0.1045,0.1379,0.0334,0.0713,0.1228,0.0515,0.0882,0.1426,0.0544,0.0789,0.1818,0.1029,0.0774,0.3588,0.2814,0.1096,0.1635,0.0539,0.0776,0.1117,0.0341,0.1141,0.1064,-0.0077,0.0719,0.0515,-0.0204,0.1349,0.1905,0.0556,0.0884
"6307","s020",7,7,0.0927,0.0971,0.0044,0.0863,0.1051,0.0188,0.0856,0.0842,-0.0014,0.0864,1.1958,1.1094,0.0723,0.3075,0.2352,0.0929,0.1264,0.0335,0.0507,0.0991,0.0484,0.1196,0.0974,-0.0222,0.0721,0.0288,-0.0433,0.1217,0.1699,0.0482,0.0898
"6309","s020",7,9,0.1238,0.2726,0.1488,0.0956,0.1484,0.0528,0.1188,0.1674,0.0486,0.0845,0.2159,0.1314,0.0971,0.3593,0.2622,0.0919,0.1035,0.0116,0.0826,0.1167,0.0341,0.1074,0.1112,0.0038,0.098,0.0636,-0.0344,0.1774,0.1588,-0.0186,0.0921
"6312","s020",7,12,0.1167,0.152,0.0353,0.0882,0.1695,0.0813,0.1246,0.1336,0.009,0.0979,0.2306,0.1327,0.0921,0.3524,0.2603,0.1036,0.1551,0.0515,0.0974,0.1329,0.0355,0.1024,0.1909,0.0885,0.0927,0.072,-0.0207,0.1318,0.2309,0.0991,0.1109
"6313","s020",7,13,0.1098,0.1681,0.0583,0.0884,0.1349,0.0465,0.1111,0.1259,0.0148,0.0605,0.2977,0.2372,0.09,0.345,0.255,0.1141,0.1331,0.019,0.0818,0.1286,0.0468,0.1169,0.132,0.0151,0.0803,0.0507,-0.0296,0.1763,0.1775,0.0012,0.0909
"6314","s020",7,14,0.114,0.186,0.072,0.0948,0.1846,0.0898,0.0916,0.1774,0.0858,0.0937,0.2322,0.1385,0.0829,0.3477,0.2648,0.1072,0.1244,0.0172,0.1059,0.1617,0.0558,0.1217,0.1709,0.0492,0.1428,0.1729,0.0301,0.127,0.2259,0.0989,0.0942
"6322","s020",7,22,0.0803,0.1631,0.0828,0.0966,0.1645,0.0679,0.0942,0.1362,0.042,0.0932,0.218,0.1248,0.0874,0.3812,0.2938,0.0954,0.2224,0.127,0.0869,0.4928,0.4059,0.1074,0.2552,0.1478,0.0613,0.1479,0.0866,0.1103,0.1965,0.0862,0.0774
"6338","s020",7,38,0.0726,0.1309,0.0583,0.0797,0.1433,0.0636,0.108,0.1262,0.0182,0.1014,0.208,0.1066,0.0752,0.3091,0.2339,0.1114,0.1513,0.0399,0.1045,0.1189,0.0144,0.123,0.1386,0.0156,0.165,0.1414,-0.0236,0.1556,0.1285,-0.0271,0.084
"6342","s020",7,42,0.0977,0.1705,0.0728,0.0578,0.1375,0.0797,0.1027,0.1093,0.0066,0.0966,0.2188,0.1222,0.071,0.2901,0.2191,0.1051,0.1381,0.033,0.1093,0.1118,0.0025,0.1204,0.149,0.0286,0.1578,0.1129,-0.0449,0.1631,0.1598,-0.0033,0.0861
"6344","s020",7,44,0.1074,0.1688,0.0614,0.1006,0.1386,0.038,0.1131,0.1059,-0.0072,0.103,0.2212,0.1182,0.0937,0.3154,0.2217,0.1053,0.179,0.0737,0.1098,0.159,0.0492,0.1328,0.1474,0.0146,0.1394,0.1484,0.009,0.1217,0.2332,0.1115,0.0689
"6348","s020",7,48,0.1114,0.1602,0.0488,0.076,0.1322,0.0562,0.1029,0.1061,0.0032,0.1059,0.2096,0.1037,0.0818,0.2666,0.1848,0.1028,0.1356,0.0328,0.1024,0.1223,0.0199,0.119,0.1526,0.0336,0.1607,0.1596,-0.0011,0.1148,0.1545,0.0397,0.0842
"6353","s020",8,3,0.1188,0.1274,0.0086,0.1035,0.1679,0.0644,0.142,0.2186,0.0766,0.1193,0.5222,0.4029,0.0705,0.4625,0.392,0.1135,0.165,0.0515,0.142,0.173,0.031,0.1536,0.1917,0.0381,0.1394,0.2386,0.0992,0.1285,0.7066,0.5781,0.1386
"6356","s020",8,6,0.1439,0.2462,0.1023,0.0903,0.1885,0.0982,0.1357,0.1627,0.027,0.127,0.2603,0.1333,0.0797,0.3729,0.2932,0.1238,0.17,0.0462,0.1346,0.1574,0.0228,0.1409,0.1486,0.0077,0.1396,0.2085,0.0689,0.1127,0.2102,0.0975,0.1307
"6357","s020",8,7,0.1148,0.1572,0.0424,0.1,0.1929,0.0929,0.138,0.1824,0.0444,0.1146,0.2938,0.1792,0.0871,0.4226,0.3355,0.1057,0.1957,0.09,0.1283,0.188,0.0597,0.1634,0.1656,0.0022,0.1507,0.2164,0.0657,0.1322,0.3065,0.1743,0.0502
"6362","s020",8,12,0.1325,0.1578,0.0253,0.0932,0.1843,0.0911,0.1359,0.1845,0.0486,0.1,0.2491,0.1491,0.0826,0.3717,0.2891,0.1151,0.1521,0.037,0.1299,0.2073,0.0774,0.1613,0.2337,0.0724,0.1462,0.6555,0.5093,0.156,1.7679,1.6119,0.0576
"6363","s020",8,13,0.128,0.176,0.048,0.1161,0.1676,0.0515,0.1349,0.1714,0.0365,0.1124,0.4016,0.2892,0.1138,0.3741,0.2603,0.1022,0.165,0.0628,0.1219,0.2241,0.1022,0.1428,0.1547,0.0119,0.1407,0.3159,0.1752,0.1578,0.3593,0.2015,0.1499
"6367","s020",8,17,0.1172,0.2187,0.1015,0.0977,0.1318,0.0341,0.1278,0.0966,-0.0312,0.1022,0.269,0.1668,0.0314,0.2592,0.2278,0.1204,0.1437,0.0233,0.1288,0.2437,0.1149,0.1383,0.3954,0.2571,0.1636,0.3818,0.2182,0.1507,0.2778,0.1271,0.1552
"6374","s020",8,24,0.1093,0.1483,0.039,0.0977,0.1558,0.0581,0.1154,0.1072,-0.0082,0.1209,0.2341,0.1132,0.095,0.3047,0.2097,0.0932,0.1476,0.0544,0.1262,0.1865,0.0603,0.1544,0.1724,0.018,0.1412,0.2449,0.1037,0.1396,0.2316,0.092,0.147
"6378","s020",8,28,0.1043,0.0878,-0.0165,0.1106,0.1576,0.047,0.1162,0.0982,-0.018,0.1355,0.198,0.0625,0.0578,0.249,0.1912,0.1215,0.1067,-0.0148,0.1067,0.1311,0.0244,0.1415,0.0877,-0.0538,0.1164,0.0802,-0.0362,0.1616,0.1451,-0.0165,0.1344
"6384","s020",8,34,0.1217,0.1274,0.0057,0.1061,0.1391,0.033,0.1251,0.1095,-0.0156,0.1032,0.157,0.0538,0.0615,0.2989,0.2374,0.1346,0.4001,0.2655,0.1029,0.1835,0.0806,0.1491,0.2088,0.0597,0.089,0.1998,0.1108,0.1254,0.2707,0.1453,0.1383
"6386","s020",8,36,0.1241,0.2109,0.0868,0.1066,0.2547,0.1481,0.1264,0.1879,0.0615,0.1204,0.2975,0.1771,0.0887,0.4099,0.3212,0.1299,0.1912,0.0613,0.1433,0.2445,0.1012,0.1652,0.2502,0.085,0.1884,0.2884,0.1,0.1475,0.2263,0.0788,0.1256
"6391","s020",8,41,0.1207,0.1153,-0.0054,0.1003,0.1325,0.0322,0.1207,0.0837,-0.037,0.1207,0.2038,0.0831,0.0771,0.2978,0.2207,0.1088,0.1355,0.0267,0.1225,0.2068,0.0843,0.1533,0.2521,0.0988,0.1188,0.2151,0.0963,0.1449,0.2411,0.0962,0.1386
"6393","s020",8,43,0.1103,0.1081,-0.0022,0.1035,0.1373,0.0338,0.1241,0.0797,-0.0444,0.1254,0.2273,0.1019,0.0673,0.3305,0.2632,0.0985,0.1368,0.0383,0.1375,0.1967,0.0592,0.166,0.2186,0.0526,0.1251,0.2417,0.1166,0.1576,0.286,0.1284,0.1504
"6398","s020",8,48,0.1093,0.1116,0.0023,0.0995,0.1259,0.0264,0.1254,0.085,-0.0404,0.1246,0.2127,0.0881,0.0858,0.296,0.2102,0.1162,0.1323,0.0161,0.1095,0.155,0.0455,0.1515,0.104,-0.0475,0.1534,0.1098,-0.0436,0.1415,0.2039,0.0624,0.1296
"6399","s020",8,49,0.1141,0.0976,-0.0165,0.0969,0.132,0.0351,0.1101,0.0882,-0.0219,0.0927,0.1766,0.0839,0.0964,0.3195,0.2231,0.1146,0.1255,0.0109,0.1043,0.1503,0.046,0.1486,0.0966,-0.052,0.1606,0.1009,-0.0597,0.1457,0.1691,0.0234,0.1354
"6708","s021",7,8,0.0153,0.1253,0.11,0.0853,0.1566,0.0713,0.0818,0.1106,0.0288,0.0755,0.2061,0.1306,0.0602,0.2817,0.2215,0.0797,0.2151,0.1354,0.0826,0.1444,0.0618,0.0805,0.2107,0.1302,0.0544,0.1974,0.143,0.0853,0.3504,0.2651,0.094
"6712","s021",7,12,0.0924,0.1303,0.0379,0.1006,0.1848,0.0842,0.0782,0.0663,-0.0119,0.0808,0.2001,0.1193,0.071,0.2505,0.1795,0.0916,0.1969,0.1053,0.0845,0.1115,0.027,0.0697,0.164,0.0943,0.0876,0.1654,0.0778,0.0763,0.286,0.2097,0.0964
"6718","s021",7,18,0.0905,0.158,0.0675,0.0861,0.1561,0.07,0.0874,0.0893,0.0019,0.0789,0.2122,0.1333,0.0679,0.2388,0.1709,0.1066,0.1563,0.0497,0.0795,0.1377,0.0582,0.0726,0.1138,0.0412,0.1016,0.138,0.0364,0.1022,0.2887,0.1865,0.0853
"6721","s021",7,21,0.0763,0.204,0.1277,0.0821,0.1682,0.0861,0.0861,0.1141,0.028,0.0845,0.2085,0.124,0.0866,0.2814,0.1948,0.1008,0.24,0.1392,0.0837,0.1078,0.0241,0.0647,0.131,0.0663,0.0974,0.2278,0.1304,0.0275,0.3277,0.3002,0.0805
"6723","s021",7,23,0.0929,0.3295,0.2366,0.095,0.1578,0.0628,0.0737,0.1091,0.0354,0.0634,0.3969,0.3335,0.085,0.2701,0.1851,0.0816,0.1981,0.1165,0.0673,0.0869,0.0196,0.0499,0.1339,0.084,0.119,0.1895,0.0705,0.0573,0.2258,0.1685,0.0776
"6724","s021",7,24,0.0847,0.2134,0.1287,0.0842,0.156,0.0718,0.0673,0.1045,0.0372,0.0882,0.2199,0.1317,0.0713,0.2234,0.1521,0.1027,0.2218,0.1191,0.0813,0.0909,0.0096,0.0747,0.1529,0.0782,0.099,0.1201,0.0211,0.1085,0.2841,0.1756,0.0673
"6726","s021",7,26,0.1396,0.7275,0.5879,0.0908,0.1217,0.0309,0.0805,0.1048,0.0243,0.0642,0.1927,0.1285,0.09,0.2637,0.1737,0.0916,0.1998,0.1082,0.0834,0.1001,0.0167,0.0673,0.1455,0.0782,0.1183,0.1806,0.0623,0.1172,0.2804,0.1632,0.0689
"6733","s021",7,33,0.108,0.1565,0.0485,0.1011,0.1497,0.0486,0.0803,0.0867,0.0064,0.0921,0.2161,0.124,0.0813,0.2482,0.1669,0.1077,0.2347,0.127,0.0837,0.1297,0.046,0.0639,0.1809,0.117,0.0618,0.165,0.1032,0.0942,0.253,0.1588,0.062
"6734","s021",7,34,0.0937,0.1058,0.0121,0.0887,0.1726,0.0839,0.081,0.0974,0.0164,0.0805,0.2325,0.152,0.0668,0.2743,0.2075,0.1074,0.2985,0.1911,0.0763,0.1593,0.083,0.0686,0.1296,0.061,0.0718,0.1689,0.0971,0.0813,0.224,0.1427,0.0747
"6735","s021",7,35,0.0942,0.1559,0.0617,0.1051,0.1693,0.0642,0.0665,0.1193,0.0528,0.0826,0.2254,0.1428,0.0929,0.2954,0.2025,0.0708,0.1767,0.1059,0.0718,0.1471,0.0753,0.07,0.1516,0.0816,0.0871,0.1647,0.0776,0.0863,0.2638,0.1775,0.0636
"6739","s021",7,39,0.0919,0.214,0.1221,0.0958,0.1637,0.0679,0.0623,0.099,0.0367,0.0618,0.209,0.1472,0.0982,0.3107,0.2125,0.0929,0.203,0.1101,0.0752,0.1162,0.041,0.0734,0.1418,0.0684,0.0871,0.162,0.0749,0.0876,0.2651,0.1775,0.0726
"6741","s021",7,41,0.0921,0.1337,0.0416,0.0895,0.1481,0.0586,0.0702,0.1146,0.0444,0.0562,0.2232,0.167,0.0927,0.3242,0.2315,0.0586,0.1673,0.1087,0.0779,0.1231,0.0452,0.0628,0.1499,0.0871,0.0721,0.1581,0.086,0.0956,0.2496,0.154,0.0869
"6747","s021",7,47,0.0861,0.1409,0.0548,0.0908,0.1668,0.076,0.0642,0.1131,0.0489,0.0634,0.2183,0.1549,0.0779,0.2604,0.1825,0.1072,0.2099,0.1027,0.0789,0.2009,0.122,0.0597,0.1571,0.0974,0.0536,0.1549,0.1013,0.0863,0.2292,0.1429,0.0795
"6750","s021",7,50,0.0977,0.1515,0.0538,0.1056,0.1729,0.0673,0.0729,0.1009,0.028,0.0692,0.2051,0.1359,0.0774,0.2397,0.1623,0.1122,0.1695,0.0573,0.0803,0.1725,0.0922,0.076,0.1531,0.0771,0.071,0.1737,0.1027,0.1,0.2851,0.1851,0.0813
"6759","s021",8,9,0.0921,0.1469,0.0548,0.0932,0.175,0.0818,0.0652,0.1075,0.0423,0.0905,0.2122,0.1217,0.065,0.3029,0.2379,0.0726,0.1476,0.075,0.0766,0.1139,0.0373,0.0708,0.163,0.0922,0.066,0.1639,0.0979,0.0903,0.2849,0.1946,0.07
"6765","s021",8,15,0.0929,0.0989,0.006,0.0987,0.1848,0.0861,0.0692,0.0967,0.0275,0.0818,0.2103,0.1285,0.0607,0.2777,0.217,0.0631,0.1421,0.079,0.0676,0.1308,0.0632,0.0475,0.0996,0.0521,0.0829,0.1502,0.0673,0.108,0.2797,0.1717,0.0726
"6769","s021",8,19,0.1014,0.1211,0.0197,0.0863,0.1906,0.1043,0.08,0.1154,0.0354,0.0713,0.1914,0.1201,0.0671,0.2836,0.2165,0.0525,0.2381,0.1856,0.1027,0.2015,0.0988,0.0486,0.1115,0.0629,0.0797,0.1895,0.1098,0.0934,0.2685,0.1751,0.071
"6774","s021",8,24,0.0959,0.0947,-0.0012,0.1017,0.2094,0.1077,0.076,0.0942,0.0182,0.0768,0.1871,0.1103,0.075,0.3067,0.2317,0.0845,0.1703,0.0858,0.0694,0.1196,0.0502,0.066,0.1371,0.0711,0.0805,0.2093,0.1288,0.0879,0.3047,0.2168,0.0665
"6778","s021",8,28,0.08,0.1042,0.0242,0.0916,0.2022,0.1106,0.0692,0.0706,0.0014,0.0956,0.2386,0.143,0.0721,0.2754,0.2033,0.0744,0.1924,0.118,0.0726,0.1228,0.0502,0.0647,0.1579,0.0932,0.0768,0.1697,0.0929,0.094,0.3079,0.2139,0.0692
"6792","s021",8,42,0.089,0.1602,0.0712,0.0956,0.1854,0.0898,0.0684,0.0673,-0.0011,0.0927,0.2043,0.1116,0.0834,0.2368,0.1534,0.094,0.1861,0.0921,0.0813,0.1286,0.0473,0.0737,0.1342,0.0605,0.0953,0.1824,0.0871,0.0589,0.2615,0.2026,0.0789
"6796","s021",8,46,0.0929,0.1438,0.0509,0.0884,0.1937,0.1053,0.0797,0.0958,0.0161,0.0863,0.1929,0.1066,0.0887,0.2603,0.1716,0.09,0.1432,0.0532,0.09,0.1566,0.0666,0.0689,0.1154,0.0465,0.1061,0.1409,0.0348,0.1066,0.2915,0.1849,0.0676
"6800","s021",8,50,0.1032,0.1182,0.015,0.0908,0.1705,0.0797,0.0768,0.1396,0.0628,0.0161,0.137,0.1209,0.0834,0.2769,0.1935,0.0581,0.1637,0.1056,0.0879,0.1484,0.0605,0.0892,0.1492,0.06,0.0847,0.2412,0.1565,0.0892,0.4287,0.3395,0.0795
"7151","s022",8,1,0.0689,0.6048,0.5359,0.0602,0.3183,0.2581,0.0578,0.4539,0.3961,0.1177,1.4339,1.3162,0.0644,1.4412,1.3768,0.0755,0.5104,0.4349,0.0636,0.4954,0.4318,0.1043,0.2094,0.1051,0.0639,0.2877,0.2238,0.0541,0.4836,0.4295,0.0668
"7152","s022",8,2,0.0644,1.1056,1.0412,0.0523,0.3107,0.2584,0.0502,0.2872,0.237,0.0797,0.3789,0.2992,0.0597,0.5826,0.5229,0.0557,0.4194,0.3637,0.0547,0.3717,0.317,0.0892,0.1573,0.0681,0.0607,0.2945,0.2338,0.046,0.3209,0.2749,0.0512
"7153","s022",8,3,0.0597,0.4359,0.3762,0.0504,0.4463,0.3959,0.0481,0.2748,0.2267,0.076,0.3119,0.2359,0.066,0.53,0.464,0.0594,0.3505,0.2911,0.0499,0.3236,0.2737,0.108,0.1748,0.0668,0.0591,0.2623,0.2032,0.0578,0.3274,0.2696,0.0594
"7154","s022",8,4,0.0644,0.4704,0.406,0.0594,0.4724,0.413,0.0491,0.2428,0.1937,0.0768,0.3164,0.2396,0.0544,0.4812,0.4268,0.0531,0.3604,0.3073,0.0478,0.3094,0.2616,0.0533,0.2114,0.1581,0.0581,0.2753,0.2172,0.046,0.3747,0.3287,0.0605
"7155","s022",8,5,0.0533,0.4475,0.3942,0.0473,0.3033,0.256,0.0446,0.2615,0.2169,0.0784,0.3874,0.309,0.0557,0.5582,0.5025,0.0512,0.3637,0.3125,0.0525,0.2756,0.2231,0.1119,0.1985,0.0866,0.0639,0.2903,0.2264,0.0565,0.3013,0.2448,0.0482
"7157","s022",8,7,0.0541,0.4182,0.3641,0.051,0.2862,0.2352,0.0475,0.2797,0.2322,0.0768,0.2459,0.1691,0.0499,0.501,0.4511,0.0507,0.3634,0.3127,0.0499,0.2558,0.2059,0.0615,0.1191,0.0576,0.0573,0.309,0.2517,0.0512,0.2881,0.2369,0.0495
"7158","s022",8,8,0.0578,0.4359,0.3781,0.0578,0.3077,0.2499,0.0496,0.2665,0.2169,0.0721,0.3365,0.2644,0.0552,0.515,0.4598,0.0507,0.3435,0.2928,0.0465,0.2276,0.1811,0.1249,0.1738,0.0489,0.0594,0.2774,0.218,0.0489,0.2789,0.23,0.0499
"7159","s022",8,9,0.0589,0.5478,0.4889,0.0555,0.3244,0.2689,0.0499,0.2663,0.2164,0.0663,0.3653,0.299,0.0549,0.7239,0.669,0.0555,0.3661,0.3106,0.0628,0.2943,0.2315,0.09,0.241,0.151,0.0576,0.2803,0.2227,0.0467,0.292,0.2453,0.047
"7160","s022",8,10,0.0552,0.4008,0.3456,0.0528,0.4988,0.446,0.0562,0.3679,0.3117,0.0768,0.3122,0.2354,0.0512,0.74,0.6888,0.0523,0.3369,0.2846,0.0383,0.2205,0.1822,0.108,0.201,0.093,0.0512,0.3367,0.2855,0.0523,0.3076,0.2553,0.0444
"7163","s022",8,13,0.0512,0.4879,0.4367,0.061,0.3437,0.2827,0.0465,0.2777,0.2312,0.0747,0.2789,0.2042,0.0523,0.5702,0.5179,0.0605,0.3965,0.336,0.0539,0.3949,0.341,0.0908,0.1972,0.1064,0.0573,0.2959,0.2386,0.0507,0.386,0.3353,0.0594
"7165","s022",8,15,0.0555,0.4381,0.3826,0.0586,0.3215,0.2629,0.0462,0.2993,0.2531,0.1022,0.2735,0.1713,0.0562,0.6186,0.5624,0.0541,0.4201,0.366,0.0578,0.3611,0.3033,0.1024,0.2122,0.1098,0.0547,0.3371,0.2824,0.0483,0.3221,0.2738,0.0475
"7167","s022",8,17,0.0581,0.4734,0.4153,0.0536,0.4183,0.3647,0.0536,0.3093,0.2557,0.0779,0.3798,0.3019,0.0605,0.5065,0.446,0.0562,0.3772,0.321,0.0589,0.2939,0.235,0.1275,0.207,0.0795,0.0528,0.2929,0.2401,0.0457,0.3148,0.2691,0.0441
"7172","s022",8,22,0.0507,0.4071,0.3564,0.0528,0.3325,0.2797,0.0533,0.2829,0.2296,0.0784,0.3111,0.2327,0.0599,0.4769,0.417,0.0496,0.3428,0.2932,0.0473,0.2136,0.1663,0.1053,0.1806,0.0753,0.0528,0.2745,0.2217,0.0478,0.3066,0.2588,0.047
"7174","s022",8,24,0.0565,0.7309,0.6744,0.0565,0.3365,0.28,0.0491,0.2621,0.213,0.0671,0.3505,0.2834,0.0602,0.5588,0.4986,0.0457,0.3643,0.3186,0.0465,0.1933,0.1468,0.09,0.1428,0.0528,0.0586,0.2565,0.1979,0.047,0.2807,0.2337,0.0467
